Data sampling clock
Time	Stop	Vol1
3 ms		0	
50 ms		0	
103 ms	stop
113 ms		1134	
161 ms		1134	
203 ms		1134	
258 ms		1268	
312 ms		1268	
354 ms		1268	
407 ms		1222	
461 ms		1222	
504 ms		1186	
557 ms		1186	
610 ms		1192	
654 ms		1192	
706 ms		1244	
760 ms		1244	
803 ms		1244	
855 ms		1202	
908 ms		1202	
962 ms		1181	
1004 ms		1181	
1057 ms		1212	
1110 ms		1212	
1153 ms		1204	
1206 ms		1204	
1258 ms		1204	
1312 ms		1040	
1357 ms		1040	
1409 ms		1198	
1453 ms		1198	
1506 ms		1029	
1559 ms		1029	
1612 ms		1223	
1656 ms		1223	
1710 ms		1223	
1753 ms		1507	
1805 ms		1507	
1858 ms		1229	
1911 ms		1229	
1954 ms		1211	
2007 ms		1211	
2062 ms		1128	
2105 ms		1128	
2159 ms		1128	
2203 ms		1267	
2257 ms		1267	
2308 ms		1220	
2362 ms		1220	
2404 ms		1034	
2455 ms		1034	
2509 ms		1034	
2553 ms		1272	
2606 ms		1272	
2660 ms		1191	
2703 ms		1191	
2756 ms		1193	
2810 ms		1193	
2853 ms		1214	
2906 ms		1214	
2959 ms		1214	
3013 ms		1030	
3056 ms		1030	
3111 ms		1260	
3153 ms		1260	
3206 ms		1234	
3258 ms		1234	
3311 ms		1156	
3355 ms		1156	
3410 ms		1156	
3462 ms		1260	
3505 ms		1260	
3560 ms		1174	
3604 ms		1174	
3658 ms		1238	
3710 ms		1238	
3754 ms		1238	
3809 ms		1276	
3853 ms		1276	
3908 ms		1247	
3961 ms		1247	
4004 ms		1210	
4059 ms		1210	
4103 ms		1278	
4157 ms		1278	
4210 ms		1223	
4253 ms		1223	
4307 ms		1223	
4362 ms		1189	
4405 ms		1189	
4457 ms		1212	
4511 ms		1212	
4555 ms		1184	
4607 ms		1184	
4661 ms		1184	
4703 ms		1198	
4755 ms		1198	
4808 ms		1036	
4862 ms		1036	
4904 ms		1217	
4957 ms		1217	
5012 ms		1220	
5055 ms		1220	
5108 ms		1220	
5161 ms		1253	
5203 ms		1253	
5259 ms		1185	
5311 ms		1185	
5354 ms		1163	
5408 ms		1163	
5461 ms		1514	
5504 ms		1514	
5556 ms		1514	
5610 ms		1215	
5653 ms		1215	
5705 ms		1252	
5757 ms		1252	
5809 ms		1161	
5861 ms		1161	
5903 ms		1161	
5956 ms		1226	
6009 ms		1226	
6053 ms		1200	
6106 ms		1200	
6159 ms		1254	
6212 ms		1254	
6256 ms		1230	
6310 ms		1230	
6353 ms		1230	
6407 ms		1238	
6459 ms		1238	
6503 ms		1510	
6556 ms		1510	
6610 ms		1181	
6653 ms		1181	
6708 ms		1171	
6763 ms		1171	
6805 ms		1171	
6860 ms		1194	
6913 ms		1194	
6955 ms		1220	
7008 ms		1220	
7061 ms		1190	
7105 ms		1190	
7158 ms		1229	
7211 ms		1229	
7254 ms		1229	
7308 ms		1219	
7362 ms		1219	
7406 ms		1177	
7460 ms		1177	
7503 ms		1172	
7555 ms		1172	
7610 ms		1198	
7663 ms		1198	
7704 ms		1198	
7758 ms		1200	
7813 ms		1200	
7856 ms		1213	
7909 ms		1213	
7963 ms		1226	
8006 ms		1226	
8059 ms		1226	
8112 ms		1189	
8155 ms		1189	
8209 ms		1182	
8263 ms		1182	
8306 ms		1199	
8361 ms		1199	
8403 ms		1249	
8456 ms		1249	
8510 ms		1249	
8554 ms		1197	
8609 ms		1197	
8653 ms		1225	
8708 ms		1225	
8763 ms		1190	
8807 ms		1190	
8862 ms		1168	
8906 ms		1168	
8961 ms		1168	
9005 ms		1193	
9059 ms		1193	
9103 ms		1233	
9157 ms		1233	
9211 ms		1188	
9255 ms		1188	
9307 ms		1188	
9361 ms		1256	
9404 ms		1256	
9457 ms		1241	
9510 ms		1241	
9553 ms		1228	
9605 ms		1228	
9659 ms		1256	
9703 ms		1256	
9756 ms		1256	
9809 ms		1211	
9862 ms		1211	
9905 ms		1192	
9959 ms		1192	
10003 ms		1233	
10056 ms		1233	
10109 ms		1215	
10161 ms		1215	
10203 ms		1215	
10258 ms		1211	
10310 ms		1211	
10363 ms		1218	
10407 ms		1218	
10444 ms	stop
