Data sampling clock
Time	Stop	Vol1
2 ms		0	
52 ms		0	
106 ms	stop
105 ms		0	
114 ms		1024	
165 ms		1264	
207 ms		1285	
260 ms		1260	
315 ms		1262	
360 ms		1228	
413 ms		1270	
457 ms		1222	
510 ms		1154	
563 ms		1242	
606 ms		1709	
660 ms		1261	
712 ms		1231	
756 ms		1237	
810 ms		1614	
862 ms		1262	
906 ms		1295	
960 ms		1417	
1015 ms		1245	
1058 ms		1756	
1111 ms		1237	
1166 ms		1282	
1207 ms		1196	
1259 ms		1580	
1311 ms		1215	
1364 ms		1217	
1406 ms		1221	
1461 ms		1232	
1515 ms		1780	
1558 ms		1271	
1610 ms		1253	
1662 ms		1188	
1715 ms		1604	
1759 ms		1255	
1812 ms		1267	
1865 ms		1173	
1907 ms		1237	
1961 ms		1547	
2015 ms		1282	
2058 ms		1246	
2113 ms		1200	
2156 ms		1638	
2210 ms		1284	
2264 ms		1259	
2307 ms		1223	
2360 ms		1236	
2415 ms		1561	
2459 ms		1263	
2513 ms		1250	
2565 ms		1273	
2609 ms		1625	
2663 ms		1281	
2707 ms		1280	
2761 ms		1246	
2813 ms		1276	
2865 ms		1758	
2907 ms		1247	
2961 ms		1197	
3015 ms		1208	
3058 ms		1625	
3111 ms		1243	
3164 ms		1272	
3208 ms		1183	
3260 ms		1245	
3315 ms		1757	
3357 ms		1231	
3411 ms		1225	
3464 ms		1263	
3508 ms		1623	
3561 ms		1245	
3615 ms		1209	
3659 ms		1244	
3713 ms		1233	
3766 ms		1762	
3808 ms		1251	
3863 ms		1198	
3907 ms		1207	
3961 ms		1642	
4013 ms		1240	
4056 ms		1240	
4109 ms		1234	
4161 ms		1233	
4215 ms		1748	
4259 ms		1189	
4312 ms		1282	
4356 ms		1221	
4410 ms		1289	
4463 ms		1217	
4507 ms		1247	
4561 ms		1221	
4615 ms		1237	
4658 ms		1225	
4712 ms		1259	
4764 ms		1214	
4807 ms		1219	
4860 ms		1202	
4914 ms		1259	
4957 ms		1246	
5010 ms		1264	
5063 ms		1164	
5108 ms		1215	
5161 ms		1222	
5215 ms		1233	
5257 ms		1264	
5311 ms		1192	
5364 ms		1286	
5407 ms		1213	
5461 ms		1222	
5515 ms		1299	
5558 ms		1223	
5611 ms		1184	
5664 ms		1191	
5708 ms		1245	
5762 ms		1188	
5815 ms		1218	
5859 ms		1231	
5913 ms		1255	
5966 ms		1415	
6009 ms		1270	
6064 ms		1242	
6116 ms		1212	
6158 ms		1267	
6212 ms		1208	
6264 ms		1210	
6308 ms		1235	
6361 ms		1217	
6415 ms		1190	
6458 ms		1249	
6510 ms		1269	
6565 ms		1197	
6607 ms		1246	
6662 ms		1254	
6706 ms		1566	
6759 ms		1246	
6812 ms		1291	
6865 ms		1318	
6909 ms		1228	
6961 ms		1737	
7015 ms		1217	
7057 ms		1228	
7111 ms		1221	
7164 ms		1233	
7207 ms		1240	
7260 ms		1208	
7314 ms		1346	
7358 ms		1216	
7412 ms		1763	
7464 ms		1236	
7509 ms		1220	
7561 ms		1228	
7614 ms		1588	
7656 ms		1226	
7708 ms		1254	
7762 ms		1429	
7814 ms		1268	
7857 ms		1764	
7911 ms		1226	
7966 ms		1259	
8010 ms		1229	
8064 ms		1620	
8109 ms		1208	
8162 ms		1245	
8216 ms		1260	
8258 ms		1243	
8313 ms		1587	
8366 ms		1269	
8409 ms		1308	
8463 ms		1217	
8508 ms		1581	
8563 ms		1239	
8616 ms		1181	
8657 ms		1265	
8712 ms		1258	
8766 ms		1699	
8809 ms		1254	
8862 ms		1236	
8915 ms		1236	
8958 ms		1637	
9011 ms		1303	
9064 ms		1223	
9107 ms		1237	
9159 ms		1235	
9212 ms		1552	
9265 ms		1258	
9309 ms		1256	
9362 ms		1261	
9416 ms		1601	
9460 ms		1221	
9512 ms		1282	
9564 ms		1228	
9616 ms		1221	
9660 ms		1752	
9712 ms		1251	
9764 ms		1292	
9806 ms		1290	
9859 ms		1634	
9914 ms		1254	
9957 ms		1262	
10010 ms		1301	
10063 ms		1235	
10115 ms		1753	
10159 ms		1305	
10213 ms		1226	
10266 ms		1287	
10291 ms	stop
